benchmark,benchmark id,solver,configuration,configuration id,status,cpu time,result, checker status, checker cpu time, checker memory, checker result
sat/sc16craft_ecgrid6x115_shuffled.cnf,2888687,glue_alt,default,152939,timeout (wallclock),5000.02,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x115_shuffled.cnf,2888687,GHackCOMSPS_DRUP,ghack_drup,153211,complete,1844.5,UNSAT,complete,1048.83,3227912.0,UNSAT-VERIFIED
sat/sc16craft_ecgrid6x115_shuffled.cnf,2888687,glucosePLE,default,153967,complete,4019.13,UNSAT,complete,1728.38,5073800.0,UNSAT-VERIFIED
sat/sc16craft_ecgrid6x115_shuffled.cnf,2888687,abcdSAT_drup,default,154067,complete,3088.63,UNSAT,complete,2628.32,5074988.0,UNSAT-VERIFIED
sat/sc16craft_ecgrid6x115_shuffled.cnf,2888687,glucose_hack_kiel_newScript,main_new,154744,complete,3063.76,UNSAT,complete,1566.49,3452764.0,UNSAT-VERIFIED
sat/sc16craft_ecgrid6x115_shuffled.cnf,2888687,Beans And Eggs,default,154732,complete,2593.53,UNSAT,complete,1266.63,4735788.0,UNSAT-VERIFIED
sat/sc16craft_ecgrid6x115_shuffled.cnf,2888687,cmsat5_main2,default,154241,timeout (cpu),4998.82,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x115_shuffled.cnf,2888687,cmsat5_autotune2,default,154243,timeout (cpu),4999.72,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x115_shuffled.cnf,2888687,glueminisat-2.2.10-81-main,maintrack,154247,complete,4446.44,UNSAT,complete,5782.58,1.0391336E7,UNSAT-VERIFIED
sat/sc16craft_ecgrid6x115_shuffled.cnf,2888687,gulch,default,154330,complete,2314.45,UNSAT,complete,1996.31,4735656.0,UNSAT-VERIFIED
sat/sc16craft_ecgrid6x115_shuffled.cnf,2888687,YalSAT 03r,default,154460,timeout (cpu),4997.22,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x115_shuffled.cnf,2888687,Lingeling bbc main,default,154468,complete,1169.71,UNSAT,complete,1002.26,1578192.0,UNSAT-VERIFIED
sat/sc16craft_ecgrid6x115_shuffled.cnf,2888687,glucose,default,154473,complete,2005.79,UNSAT,complete,977.567,4735792.0,UNSAT-VERIFIED
sat/sc16craft_ecgrid6x115_shuffled.cnf,2888687,CHBR_glucose,default,154584,timeout (wallclock),5000.02,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x115_shuffled.cnf,2888687,CHBR_glucose_tuned,default,154586,timeout (wallclock),5000.01,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x115_shuffled.cnf,2888687,tb_glucose,default,154588,timeout (cpu),4999.62,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x115_shuffled.cnf,2888687,tc_glucose,default,154590,complete,818.538,UNSAT,complete,527.737,2372248.0,UNSAT-VERIFIED
