pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result
217614532,NoLimit/sc16craft_ecgrid6x115_shuffled.cnf,3139278,GHackCOMSPS_no_DRUP,6921,ghack,153215,complete,1836.88,1835.82,434792.0,UNSAT
217614533,NoLimit/sc16craft_ecgrid6x115_shuffled.cnf,3139278,BreakIDCOMiniSatPS,6952,default,153569,complete,1482.07,1481.23,385780.0,UNSAT
217614534,NoLimit/sc16craft_ecgrid6x115_shuffled.cnf,3139278,abcdSAT_lim,6976,default,153681,timeout (cpu),5000.11,4997.23,462628.0,UNKNOWN
217614535,NoLimit/sc16craft_ecgrid6x115_shuffled.cnf,3139278,glueminisat-2.2.10-81,7148,default,154250,complete,4281.94,4279.62,640588.0,UNSAT
217614536,NoLimit/sc16craft_ecgrid6x115_shuffled.cnf,3139278,YalSAT 03r,7212,default,154458,timeout (cpu),5000.12,4997.22,8000.0,UNKNOWN
217614537,NoLimit/sc16craft_ecgrid6x115_shuffled.cnf,3139278,Lingeling bbc notrace,7218,default,154470,complete,1160.48,1159.89,250320.0,UNSAT
217614538,NoLimit/sc16craft_ecgrid6x115_shuffled.cnf,3139278,COMiniSatPS Chandrasekhar no DRUP,7243,no_drup,154600,complete,2174.08,2172.86,440384.0,UNSAT
217614539,NoLimit/sc16craft_ecgrid6x115_shuffled.cnf,3139278,MapleCOMSPS_CHB_no_DRUP,7244,CHB_VSIDS_no_drup,154602,complete,3348.4,3346.47,485144.0,UNSAT
217614540,NoLimit/sc16craft_ecgrid6x115_shuffled.cnf,3139278,MapleCOMSPS_LRB_no_DRUP,7245,LRB_VSIDS_no_drup,154604,complete,2681.55,2680.19,443784.0,UNSAT
217614541,NoLimit/sc16craft_ecgrid6x115_shuffled.cnf,3139278,MapleCOMSPS_no_DRUP,7246,seq_LRB_VSIDS_no_drup,154606,complete,1927.82,1926.71,402780.0,UNSAT
217614542,NoLimit/sc16craft_ecgrid6x115_shuffled.cnf,3139278,Splatz 06v notrace,7257,default,154629,complete,651.496,651.127,159488.0,UNSAT
217614543,NoLimit/sc16craft_ecgrid6x115_shuffled.cnf,3139278,CHBR_glucose_agile,7267,default,154646,timeout (cpu),5000.03,4997.23,400548.0,UNKNOWN
217614544,NoLimit/sc16craft_ecgrid6x115_shuffled.cnf,3139278,CHBR_glucose_tuned_agile,7268,default,154648,timeout (cpu),5000.11,4997.52,400164.0,UNKNOWN
217614545,NoLimit/sc16craft_ecgrid6x115_shuffled.cnf,3139278,tb_glucose_agile,7269,default,154650,timeout (cpu),5000.02,4997.23,386200.0,UNKNOWN
217614546,NoLimit/sc16craft_ecgrid6x115_shuffled.cnf,3139278,tc_glucose_agile,7270,default,154652,complete,736.241,735.831,293200.0,UNSAT
217614547,NoLimit/sc16craft_ecgrid6x115_shuffled.cnf,3139278,Riss6,7273,noPP,154662,complete,1463.27,1462.44,286888.0,UNSAT
217614548,NoLimit/sc16craft_ecgrid6x115_shuffled.cnf,3139278,Riss6,7273,default,154663,complete,2722.15,2720.37,357552.0,UNSAT
217614549,NoLimit/sc16craft_ecgrid6x115_shuffled.cnf,3139278,Riss6,7273,blackbox,154664,timeout (cpu),5000.09,4997.23,371452.0,UNKNOWN
217614550,NoLimit/sc16craft_ecgrid6x115_shuffled.cnf,3139278,MapleCMS,7285,default,154695,timeout (cpu),5000.07,4997.42,365052.0,UNKNOWN
217614551,NoLimit/sc16craft_ecgrid6x115_shuffled.cnf,3139278,MapleGlucose,7293,default,154714,complete,2228.82,2227.54,336152.0,UNSAT
217616312,NoLimit/sc16craft_ecgrid6x135_shuffled.cnf,3139367,GHackCOMSPS_no_DRUP,6921,ghack,153215,complete,3464.63,3462.69,509404.0,UNSAT
217616313,NoLimit/sc16craft_ecgrid6x135_shuffled.cnf,3139367,BreakIDCOMiniSatPS,6952,default,153569,complete,3762.7,3760.5,509200.0,UNSAT
217616314,NoLimit/sc16craft_ecgrid6x135_shuffled.cnf,3139367,abcdSAT_lim,6976,default,153681,complete,4658.58,4655.92,455408.0,UNSAT
217616315,NoLimit/sc16craft_ecgrid6x135_shuffled.cnf,3139367,glueminisat-2.2.10-81,7148,default,154250,complete,4038.0,4035.71,655344.0,UNSAT
217616316,NoLimit/sc16craft_ecgrid6x135_shuffled.cnf,3139367,YalSAT 03r,7212,default,154458,timeout (cpu),5000.06,4997.21,8064.0,UNKNOWN
217616317,NoLimit/sc16craft_ecgrid6x135_shuffled.cnf,3139367,Lingeling bbc notrace,7218,default,154470,complete,1533.52,1532.69,301432.0,UNSAT
217616318,NoLimit/sc16craft_ecgrid6x135_shuffled.cnf,3139367,COMiniSatPS Chandrasekhar no DRUP,7243,no_drup,154600,complete,4969.02,4966.2,524448.0,UNSAT
217616319,NoLimit/sc16craft_ecgrid6x135_shuffled.cnf,3139367,MapleCOMSPS_CHB_no_DRUP,7244,CHB_VSIDS_no_drup,154602,timeout (cpu),5000.01,4997.23,491456.0,UNKNOWN
217616320,NoLimit/sc16craft_ecgrid6x135_shuffled.cnf,3139367,MapleCOMSPS_LRB_no_DRUP,7245,LRB_VSIDS_no_drup,154604,complete,2550.57,2549.16,510564.0,UNSAT
217616321,NoLimit/sc16craft_ecgrid6x135_shuffled.cnf,3139367,MapleCOMSPS_no_DRUP,7246,seq_LRB_VSIDS_no_drup,154606,complete,3154.53,3152.78,562992.0,UNSAT
217616322,NoLimit/sc16craft_ecgrid6x135_shuffled.cnf,3139367,Splatz 06v notrace,7257,default,154629,complete,972.847,972.285,169944.0,UNSAT
217616323,NoLimit/sc16craft_ecgrid6x135_shuffled.cnf,3139367,CHBR_glucose_agile,7267,default,154646,timeout (cpu),5000.04,4997.42,408532.0,UNKNOWN
217616324,NoLimit/sc16craft_ecgrid6x135_shuffled.cnf,3139367,CHBR_glucose_tuned_agile,7268,default,154648,timeout (cpu),5000.03,4996.72,408528.0,UNKNOWN
217616325,NoLimit/sc16craft_ecgrid6x135_shuffled.cnf,3139367,tb_glucose_agile,7269,default,154650,complete,4910.69,4907.84,458120.0,UNSAT
217616326,NoLimit/sc16craft_ecgrid6x135_shuffled.cnf,3139367,tc_glucose_agile,7270,default,154652,complete,1174.29,1173.63,376936.0,UNSAT
217616327,NoLimit/sc16craft_ecgrid6x135_shuffled.cnf,3139367,Riss6,7273,noPP,154662,complete,2233.71,2232.47,398860.0,UNSAT
217616328,NoLimit/sc16craft_ecgrid6x135_shuffled.cnf,3139367,Riss6,7273,default,154663,complete,2505.58,2504.14,394868.0,UNSAT
217616329,NoLimit/sc16craft_ecgrid6x135_shuffled.cnf,3139367,Riss6,7273,blackbox,154664,timeout (cpu),5000.06,4997.23,410556.0,UNKNOWN
217616330,NoLimit/sc16craft_ecgrid6x135_shuffled.cnf,3139367,MapleCMS,7285,default,154695,timeout (cpu),5000.04,4997.23,367924.0,UNKNOWN
217616331,NoLimit/sc16craft_ecgrid6x135_shuffled.cnf,3139367,MapleGlucose,7293,default,154714,complete,4750.05,4747.34,401824.0,UNSAT
217615852,NoLimit/sc16craft_ecgrid6x155_shuffled.cnf,3139344,GHackCOMSPS_no_DRUP,6921,ghack,153215,complete,3816.31,3814.09,621308.0,UNSAT
217615853,NoLimit/sc16craft_ecgrid6x155_shuffled.cnf,3139344,BreakIDCOMiniSatPS,6952,default,153569,complete,3906.93,3904.73,529212.0,UNSAT
217615854,NoLimit/sc16craft_ecgrid6x155_shuffled.cnf,3139344,abcdSAT_lim,6976,default,153681,complete,4722.57,4719.91,485012.0,UNSAT
217615855,NoLimit/sc16craft_ecgrid6x155_shuffled.cnf,3139344,glueminisat-2.2.10-81,7148,default,154250,timeout (cpu),5000.1,4997.22,428344.0,UNKNOWN
217615856,NoLimit/sc16craft_ecgrid6x155_shuffled.cnf,3139344,YalSAT 03r,7212,default,154458,timeout (cpu),5000.1,4997.51,8156.0,UNKNOWN
217615857,NoLimit/sc16craft_ecgrid6x155_shuffled.cnf,3139344,Lingeling bbc notrace,7218,default,154470,complete,2282.58,2281.39,376760.0,UNSAT
