pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result
212247154,RandomSat/fla-350-0.cnf.bz2,2846264,YalSAT 03r,7211,default,154456,timeout (cpu),5000.1,4997.22,7452.0,UNKNOWN
212247155,RandomSat/fla-350-1.cnf.bz2,2846265,YalSAT 03r,7211,default,154456,timeout (cpu),5000.04,4997.11,7452.0,UNKNOWN
212247156,RandomSat/fla-350-2.cnf.bz2,2846266,YalSAT 03r,7211,default,154456,timeout (cpu),5000.05,4997.32,7452.0,UNKNOWN
212247157,RandomSat/fla-350-3.cnf.bz2,2846267,YalSAT 03r,7211,default,154456,complete,1205.0,1204.3,7452.0,SAT-VERIFIED
212247158,RandomSat/fla-350-4.cnf.bz2,2846268,YalSAT 03r,7211,default,154456,timeout (cpu),5000.03,4997.11,7452.0,UNKNOWN
212247159,RandomSat/fla-350-5.cnf.bz2,2846269,YalSAT 03r,7211,default,154456,timeout (cpu),5000.05,4997.01,7452.0,UNKNOWN
212247160,RandomSat/fla-350-6.cnf.bz2,2846270,YalSAT 03r,7211,default,154456,timeout (cpu),5000.05,4997.11,7452.0,UNKNOWN
212247161,RandomSat/fla-350-7.cnf.bz2,2846271,YalSAT 03r,7211,default,154456,timeout (cpu),5000.05,4997.11,7452.0,UNKNOWN
212247162,RandomSat/fla-350-8.cnf.bz2,2846272,YalSAT 03r,7211,default,154456,complete,0.368441,0.368076,7452.0,SAT-VERIFIED
212247163,RandomSat/fla-350-9.cnf.bz2,2846273,YalSAT 03r,7211,default,154456,complete,0.021327,0.021091,0.0,SAT-VERIFIED
212247164,RandomSat/fla-400-0.cnf.bz2,2846274,YalSAT 03r,7211,default,154456,timeout (cpu),5000.05,4997.11,7452.0,UNKNOWN
212247165,RandomSat/fla-400-1.cnf.bz2,2846275,YalSAT 03r,7211,default,154456,timeout (cpu),5000.07,4997.22,7452.0,UNKNOWN
212247166,RandomSat/fla-400-2.cnf.bz2,2846276,YalSAT 03r,7211,default,154456,timeout (cpu),5000.02,4997.11,7452.0,UNKNOWN
212247167,RandomSat/fla-400-3.cnf.bz2,2846277,YalSAT 03r,7211,default,154456,complete,0.504726,0.504125,7452.0,SAT-VERIFIED
212247168,RandomSat/fla-400-4.cnf.bz2,2846278,YalSAT 03r,7211,default,154456,timeout (cpu),5000.09,4997.22,7452.0,UNKNOWN
212247169,RandomSat/fla-400-5.cnf.bz2,2846279,YalSAT 03r,7211,default,154456,timeout (cpu),5000.03,4996.71,7452.0,UNKNOWN
212247170,RandomSat/fla-400-6.cnf.bz2,2846280,YalSAT 03r,7211,default,154456,timeout (cpu),5000.03,4997.11,7452.0,UNKNOWN
212247171,RandomSat/fla-400-7.cnf.bz2,2846281,YalSAT 03r,7211,default,154456,timeout (cpu),5000.09,4997.21,7452.0,UNKNOWN
212247172,RandomSat/fla-400-8.cnf.bz2,2846282,YalSAT 03r,7211,default,154456,timeout (cpu),5000.04,4997.11,7452.0,UNKNOWN
212247173,RandomSat/fla-400-9.cnf.bz2,2846283,YalSAT 03r,7211,default,154456,complete,1.08539,1.08455,7452.0,SAT-VERIFIED
212247174,RandomSat/fla-450-0.cnf.bz2,2846284,YalSAT 03r,7211,default,154456,timeout (cpu),5000.06,4997.11,7452.0,UNKNOWN
212247175,RandomSat/fla-450-1.cnf.bz2,2846285,YalSAT 03r,7211,default,154456,timeout (cpu),5000.07,4997.51,7452.0,UNKNOWN
212247176,RandomSat/fla-450-2.cnf.bz2,2846286,YalSAT 03r,7211,default,154456,timeout (cpu),5000.09,4997.41,7452.0,UNKNOWN
212247177,RandomSat/fla-450-3.cnf.bz2,2846287,YalSAT 03r,7211,default,154456,timeout (cpu),5000.06,4997.22,7452.0,UNKNOWN
212247178,RandomSat/fla-450-4.cnf.bz2,2846288,YalSAT 03r,7211,default,154456,timeout (cpu),5000.03,4997.41,7452.0,UNKNOWN
212247179,RandomSat/fla-450-5.cnf.bz2,2846289,YalSAT 03r,7211,default,154456,timeout (cpu),5000.04,4996.71,7452.0,UNKNOWN
212247180,RandomSat/fla-450-6.cnf.bz2,2846290,YalSAT 03r,7211,default,154456,timeout (cpu),5000.09,4997.11,7452.0,UNKNOWN
212247181,RandomSat/fla-450-7.cnf.bz2,2846291,YalSAT 03r,7211,default,154456,timeout (cpu),5000.04,4997.52,7452.0,UNKNOWN
212247182,RandomSat/fla-450-8.cnf.bz2,2846292,YalSAT 03r,7211,default,154456,timeout (cpu),5000.1,4997.51,7452.0,UNKNOWN
212247183,RandomSat/fla-450-9.cnf.bz2,2846293,YalSAT 03r,7211,default,154456,timeout (cpu),5000.12,4997.22,7452.0,UNKNOWN
212247184,RandomSat/fla-500-0.cnf.bz2,2846294,YalSAT 03r,7211,default,154456,timeout (cpu),5000.1,4997.11,7588.0,UNKNOWN
212247185,RandomSat/fla-500-1.cnf.bz2,2846295,YalSAT 03r,7211,default,154456,timeout (cpu),5000.08,4997.51,7588.0,UNKNOWN
212247186,RandomSat/fla-500-2.cnf.bz2,2846296,YalSAT 03r,7211,default,154456,timeout (cpu),5000.05,4997.11,7588.0,UNKNOWN
212247187,RandomSat/fla-500-3.cnf.bz2,2846297,YalSAT 03r,7211,default,154456,timeout (cpu),5000.1,4997.22,7588.0,UNKNOWN
212247188,RandomSat/fla-500-4.cnf.bz2,2846298,YalSAT 03r,7211,default,154456,timeout (cpu),5000.02,4997.11,7588.0,UNKNOWN
212247189,RandomSat/fla-500-5.cnf.bz2,2846299,YalSAT 03r,7211,default,154456,timeout (cpu),5000.07,4997.22,7588.0,UNKNOWN
212247190,RandomSat/fla-500-6.cnf.bz2,2846300,YalSAT 03r,7211,default,154456,timeout (cpu),5000.05,4997.51,7588.0,UNKNOWN
212247191,RandomSat/fla-500-7.cnf.bz2,2846301,YalSAT 03r,7211,default,154456,complete,0.098902,0.098574,0.0,SAT-VERIFIED
212247192,RandomSat/fla-500-8.cnf.bz2,2846302,YalSAT 03r,7211,default,154456,timeout (cpu),5000.02,4997.11,7588.0,UNKNOWN
212247193,RandomSat/fla-500-9.cnf.bz2,2846303,YalSAT 03r,7211,default,154456,timeout (cpu),5000.03,4997.41,7588.0,UNKNOWN
212247194,RandomSat/fla-550-0.cnf.bz2,2846304,YalSAT 03r,7211,default,154456,timeout (cpu),5000.03,4997.41,7584.0,UNKNOWN
212247195,RandomSat/fla-550-1.cnf.bz2,2846305,YalSAT 03r,7211,default,154456,timeout (cpu),5000.03,4997.11,7584.0,UNKNOWN
212247196,RandomSat/fla-550-2.cnf.bz2,2846306,YalSAT 03r,7211,default,154456,timeout (cpu),5000.07,4997.11,7584.0,UNKNOWN
212247197,RandomSat/fla-550-3.cnf.bz2,2846307,YalSAT 03r,7211,default,154456,timeout (cpu),5000.12,4997.22,7584.0,UNKNOWN
212247198,RandomSat/fla-550-4.cnf.bz2,2846308,YalSAT 03r,7211,default,154456,timeout (cpu),5000.03,4997.11,7584.0,UNKNOWN
212247199,RandomSat/fla-550-5.cnf.bz2,2846309,YalSAT 03r,7211,default,154456,timeout (cpu),5000.11,4997.22,7584.0,UNKNOWN
212247200,RandomSat/fla-550-6.cnf.bz2,2846310,YalSAT 03r,7211,default,154456,timeout (cpu),5000.03,4997.11,7584.0,UNKNOWN
212247201,RandomSat/fla-550-7.cnf.bz2,2846311,YalSAT 03r,7211,default,154456,timeout (cpu),5000.11,4997.22,7584.0,UNKNOWN
212247202,RandomSat/fla-550-8.cnf.bz2,2846312,YalSAT 03r,7211,default,154456,timeout (cpu),5000.03,4997.41,7584.0,UNKNOWN
212247203,RandomSat/fla-550-9.cnf.bz2,2846313,YalSAT 03r,7211,default,154456,timeout (cpu),5000.04,4997.11,7584.0,UNKNOWN
212247204,RandomSat/fla-600-0.cnf.bz2,2846314,YalSAT 03r,7211,default,154456,timeout (cpu),5000.04,4997.11,7584.0,UNKNOWN
212247205,RandomSat/fla-600-1.cnf.bz2,2846315,YalSAT 03r,7211,default,154456,complete,0.216259,0.220139,7584.0,SAT-VERIFIED
212247206,RandomSat/fla-600-2.cnf.bz2,2846316,YalSAT 03r,7211,default,154456,complete,0.154546,0.154181,7584.0,SAT-VERIFIED
212247207,RandomSat/fla-600-3.cnf.bz2,2846317,YalSAT 03r,7211,default,154456,timeout (cpu),5000.04,4997.11,7584.0,UNKNOWN
212247208,RandomSat/fla-600-4.cnf.bz2,2846318,YalSAT 03r,7211,default,154456,timeout (cpu),5000.05,4996.71,7584.0,UNKNOWN
212247209,RandomSat/fla-600-5.cnf.bz2,2846319,YalSAT 03r,7211,default,154456,timeout (cpu),5000.03,4997.41,7584.0,UNKNOWN
212247210,RandomSat/fla-600-6.cnf.bz2,2846320,YalSAT 03r,7211,default,154456,timeout (cpu),5000.05,4997.11,7584.0,UNKNOWN
212247211,RandomSat/fla-600-7.cnf.bz2,2846321,YalSAT 03r,7211,default,154456,complete,0.068406,0.0678839,7584.0,SAT-VERIFIED
212247212,RandomSat/fla-600-8.cnf.bz2,2846322,YalSAT 03r,7211,default,154456,timeout (cpu),5000.04,4996.71,7584.0,UNKNOWN
212247213,RandomSat/fla-600-9.cnf.bz2,2846323,YalSAT 03r,7211,default,154456,timeout (cpu),5000.04,4997.11,7584.0,UNKNOWN
212246974,RandomSat/unif-k3-r3.86-v1000000-c3860000-S337740321046355727.cnf.bz2,2846023,YalSAT 03r,7211,default,154456,complete,34.8006,33.6165,196980.0,SAT-VERIFIED
